song_id,song_name,artist_name,album_name,date_added,track_path,play_count,duration,cloud_status,is_favorited,hash
10196,Temporary Like Achilles,Bob Dylan,Blonde On Blonde,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Blonde On Blonde/10 Temporary Like Achilles.mp3,1,303,unknown,0,9baa84bc65bda4230df81f1f6caa2543c9abc2524fca25fee454997031e844ab
10210,Absolutely Sweet Marie,Bob Dylan,Blonde On Blonde,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Blonde On Blonde/11 Absolutely Sweet Marie.mp3,0,297,unknown,0,5a9d2c85d80a4f6b7b4abe98d6118341b6547448a1b7e2046b83bc863ba9403c
10198,4th Time Around,Bob Dylan,Blonde On Blonde,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Blonde On Blonde/12 4th Time Around.mp3,0,275,unknown,0,a59b901e3d7fb188af34936dcd92971a9475f8f7212c1e9b3a352222e88450d7
10194,Obviously 5 Believers,Bob Dylan,Blonde On Blonde,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Blonde On Blonde/13 Obviously 5 Believers.mp3,0,216,unknown,0,4202051540568dd125471c68e1c4ba32d521b043e8358cc682d2935a4e1223c5
10192,Sad Eyed Lady Of The Lowlands,Bob Dylan,Blonde On Blonde,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Blonde On Blonde/14 Sad Eyed Lady Of The Lowlands.mp3,2,681,unknown,0,eff87864389f2cb2f1c5c541fa83766b38b6fa7cf492326ae36d5ead6ddfb36a
8078,Like A Rolling Stone,Bob Dylan,Highway 61 Revisited,2021-04-23,/Users/alex/Music/Musica/Music/Bob Dylan/Highway 61 Revisited/01 Like A Rolling Stone.mp3,10,360,unknown,0,111ad35964397ebfccfac47dac0aea7722c2c8dfb2c78a1dd663b64dcdc0db06
10232,Tombstone Blues,Bob Dylan,Highway 61 Revisited,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Highway 61 Revisited/02 Tombstone Blues.mp3,0,359,unknown,0,5ef3c5919c25ea1fc8b2ce1ea7496e75c4f7d8f77c38825d96a9eb6a67febd19
10228,"It Takes A Lot To Laugh, It Takes A Train To Cry",Bob Dylan,Highway 61 Revisited,2024-01-18,"/Users/alex/Music/Musica/Music/Bob Dylan/Highway 61 Revisited/03 It Takes A Lot To Laugh, It Takes A Train To Cry.mp3",2,249,unknown,0,dceab5ceb330e9d37517446434ec4d8b9ec72b2145350fad49783b531e63e236
10230,From A Buick 6,Bob Dylan,Highway 61 Revisited,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Highway 61 Revisited/04 From A Buick 6.mp3,3,199,unknown,0,d7160c17514e0de2ed2842b35fdf9046abe945bbe370a02ad6cb3292d06146a9
9098,Ballad of Thin Man,Bob Dylan,Highway 61 Revisited,2022-08-08,/Users/alex/Music/Musica/Music/Bob Dylan/Highway 61 Revisited/05 Ballad of Thin Man.mp3,15,358,unknown,1,156a581eebacb2d2a717f25c7ccb2cf7eea3afa6a375d46181d9472606628752
10226,Queen Jane Approximately,Bob Dylan,Highway 61 Revisited,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Highway 61 Revisited/06 Queen Jane Approximately.mp3,0,332,unknown,1,fb7f63873440c07dd55721715939f28b0d31c65cc8633259a928936db0d9be44
